species_name	gbif_species_key	gbif_species_url	photo_1_mature_overall	photo_2_mature_overall	photo_3_flower_very_close_up	photo_4_flower_moderate_close_up	photo_5_unique_feature_photo_wildcard	photo_6_spring_feature	photo_7_summer_feature	photo_8_fall_feature	photo_9_winter_feature	total_number_of_SKUs	number_of_nursery_suppliers	nursery_to_SKU_count	original_name_summary	size_summary	quantity_summary	
Serenoa repens	2735055	https://www.gbif.org/species/2735055	https://inaturalist-open-data.s3.amazonaws.com/photos/461136558/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461527251/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/466590592/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/344523279/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/464159298/original.jpg	https://www.gbif.org/occurrence/5087700362	https://www.gbif.org/occurrence/4937186099	https://www.gbif.org/occurrence/4987401114	https://www.gbif.org/occurrence/5063227834	24	5	Coastal Botanics:11 | EarthBalance / Green Seasons:5 | Green Isle Gardens:4 | Cherrylake:2 | The Natives:2	"Serenoa repens":14 | "Serenoa repens 'Silver'":10	"3g":9 | "7g":6 | "15g":3 | "g":3 | "30g":2 | "3g+":1	"_":18 | "C":4 | "L":1 | "M":1	
Quercus virginiana	2878092	https://www.gbif.org/species/2878092	https://www.gbif.org/occurrence/5063554285	https://www.gbif.org/occurrence/5069924451	https://www.gbif.org/occurrence/4525155373	https://www.gbif.org/occurrence/5087607132	https://www.gbif.org/occurrence/5063614676	https://www.gbif.org/occurrence/4847127911	https://www.gbif.org/occurrence/2868254063	https://www.gbif.org/occurrence/4994511552	https://www.gbif.org/occurrence/3994056771	23	3	Marshall Tree Farm:13 | Cherrylake:8 | McKeithen Growers:2	"Quercus virginiana ":17 | "Quercus virginiana 'Cathedral'":4 | "Quercus virginiana 'Highrise'":1 | "Quercus virginiana 'Skyclimber'":1	"FG":10 | "_":5 | "45g":3 | "100g":2 | "200g":1 | "30g":1 | "7g":1	"_":22 | "C":1	
Viburnum obovatum	2888620	https://www.gbif.org/species/2888620	https://inaturalist-open-data.s3.amazonaws.com/photos/473029919/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/473029887/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/256997790/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/473029567/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/256997785/original.jpg	https://www.gbif.org/occurrence/4535747732	https://www.gbif.org/occurrence/2856622798	https://www.gbif.org/occurrence/4910772456	https://www.gbif.org/occurrence/4028615041	20	4	EarthBalance / Green Seasons:13 | Green Isle Gardens:4 | The Natives:2 | McKeithen Growers:1	"Viburnum obovatum":11 | "Viburnum obovatum 'Withlacoochee'":7 | "Viburnum obovatum 'Mrs. Schiller's Delight'":1 | "Viburnum obovatum (compact form)":1	"3g":11 | "7g":4 | "15g":3 | "3g+":1 | "g":1	"_":11 | "M":4 | "L":3 | "C":2	
Pinus elliottii	5285777	https://www.gbif.org/species/5285777	https://www.gbif.org/occurrence/5008153337	https://www.gbif.org/occurrence/5076782184	https://www.gbif.org/occurrence/5088141445	https://www.gbif.org/occurrence/5063084264	https://www.gbif.org/occurrence/5108109686	https://www.gbif.org/occurrence/5087635998	https://www.gbif.org/occurrence/4145418923	https://www.gbif.org/occurrence/4416966246	https://www.gbif.org/occurrence/5063760302	19	5	Cherrylake:6 | Marshall Tree Farm:5 | McKeithen Growers:4 | The Natives:3 | EarthBalance / Green Seasons:1	"Pinus elliottii var. densa":10 | "Pinus elliottii":9	"FG":7 | "3g":4 | "30g":3 | "15g":2 | "45g":1 | "7g":1 | "g":1	"_":15 | "C":2 | "L":1 | "M":1	
Muhlenbergia capillaris	2704016	https://www.gbif.org/species/2704016	https://www.gbif.org/occurrence/4145569501	https://www.gbif.org/occurrence/4431223097	https://www.gbif.org/occurrence/3070323271	https://www.gbif.org/occurrence/4950145571	https://www.gbif.org/occurrence/2988460900	https://www.gbif.org/occurrence/3058779288	https://www.gbif.org/occurrence/3384709713	https://www.gbif.org/occurrence/3947559053	https://www.gbif.org/occurrence/3032117770	17	5	EarthBalance / Green Seasons:8 | Beeman's Nursery:3 | Cherrylake:2 | Green Isle Gardens:2 | The Natives:2	"Muhlenbergia capillaris":17	"g":6 | "3g":4 | "4 inch":4 | "LN":2 | "TT":1	"_":10 | "M":6 | "C":1	
Myrcianthes fragrans	9920389	https://www.gbif.org/species/9920389	https://inaturalist-open-data.s3.amazonaws.com/photos/409588853/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/271697603/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/289341159/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/280377184/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/267966734/original.jpg	https://www.gbif.org/occurrence/4919186119	https://www.gbif.org/occurrence/4137600982	https://www.gbif.org/occurrence/3985873888	https://www.gbif.org/occurrence/2550120809	15	4	EarthBalance / Green Seasons:10 | Green Isle Gardens:2 | The Natives:2 | McKeithen Growers:1	"Myrcianthes fragrans":11 | "Myrcianthes fragrans 'Show Stopper'":2 | "Myrcianthes fragrans 'Stoppermorph'":2	"3g":7 | "7g":5 | "g":2 | "15g":1	"_":11 | "C":4	
Spartina bakeri	5290039	https://www.gbif.org/species/5290039	https://www.gbif.org/occurrence/4519067301	https://www.gbif.org/occurrence/5087745752	https://www.gbif.org/occurrence/4919521401	https://www.gbif.org/occurrence/4535636650	https://www.gbif.org/occurrence/4872449646	https://www.gbif.org/occurrence/4607480542	https://www.gbif.org/occurrence/4945726508	https://www.gbif.org/occurrence/3031828170	https://www.gbif.org/occurrence/4522685744	14	5	EarthBalance / Green Seasons:8 | Beeman's Nursery:2 | Green Isle Gardens:2 | Cherrylake:1 | The Natives:1	"Spartina bakeri ":14	"g":6 | "3g":3 | "4 inch":3 | "LN":2	"M":6 | "_":6 | "C":2	Synonym of Sporobolus bakeri (Merr.) P.M.Peterson & Saarela
Ilex vomitoria	5414250	https://www.gbif.org/species/5414250	https://inaturalist-open-data.s3.amazonaws.com/photos/460981885/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461022397/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/463750615/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461192849/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/481493319/original.jpeg	https://www.gbif.org/occurrence/4607093668	https://www.gbif.org/occurrence/4902086799	https://www.gbif.org/occurrence/4982346438	https://www.gbif.org/occurrence/5006793129	11	5	EarthBalance / Green Seasons:3 | Marshall Tree Farm:3 | McKeithen Growers:2 | The Natives:2 | Green Isle Gardens:1	"Ilex vomitoria":11	"15g":3 | "3g":3 | "_":2 | "7g":1 | "FG":1 | "g":1	"_":8 | "C":2 | "L":1	
Pinus palustris	5285816	https://www.gbif.org/species/5285816	https://www.gbif.org/occurrence/5063054182	https://www.gbif.org/occurrence/5140137141	https://www.gbif.org/occurrence/4600172198	https://www.gbif.org/occurrence/4516804712	https://www.gbif.org/occurrence/5134226937	https://www.gbif.org/occurrence/5140063893	https://www.gbif.org/occurrence/4908716435	https://www.gbif.org/occurrence/5007201784	https://www.gbif.org/occurrence/4011677878	10	4	Green Isle Gardens:3 | The Natives:3 | Cherrylake:2 | McKeithen Growers:2	"Pinus palustris":10	"3g":4 | "15g":2 | "30g":1 | "45g":1 | "7g":1 | "g":1	"_":7 | "C":2 | "M":1	
Ilex cassine	5414255	https://www.gbif.org/species/5414255	https://www.gbif.org/occurrence/4901170745	https://www.gbif.org/occurrence/4908198126	https://www.gbif.org/occurrence/4847236040	https://www.gbif.org/occurrence/4525162447	https://www.gbif.org/occurrence/4950576115	https://www.gbif.org/occurrence/5134005306	https://www.gbif.org/occurrence/4946406790	https://www.gbif.org/occurrence/4424394888	https://www.gbif.org/occurrence/4994299897	10	4	McKeithen Growers:5 | Marshall Tree Farm:3 | Cherrylake:1 | The Natives:1	"Ilex cassine":10	"_":3 | "7g":2 | "15g":1 | "30g":1 | "3g":1 | "45g":1 | "FG":1	"_":8 | "C":2	
Liquidambar styraciflua	3152824	https://www.gbif.org/species/3152824	https://www.gbif.org/occurrence/4852418606	https://www.gbif.org/occurrence/4852993982	https://www.gbif.org/occurrence/4946330138	https://www.gbif.org/occurrence/5087418931	https://www.gbif.org/occurrence/5088153843	https://www.gbif.org/occurrence/5088089096	https://www.gbif.org/occurrence/4909210866	https://www.gbif.org/occurrence/3988660708	https://www.gbif.org/occurrence/4535813193	10	2	McKeithen Growers:6 | Marshall Tree Farm:4	"Liquidambar styraciflua":10	"_":3 | "100g":1 | "15g":1 | "30g":1 | "3g":1 | "45g":1 | "7g":1 | "FG":1	"_":9 | "C":1	
Rhapidophyllum hystrix	5293826	https://www.gbif.org/species/5293826	https://www.gbif.org/occurrence/4606988750	https://www.gbif.org/occurrence/4952458991	https://www.gbif.org/occurrence/4919598812	https://www.gbif.org/occurrence/3039335655	https://www.gbif.org/occurrence/4919110143	https://www.gbif.org/occurrence/5087607771	https://www.gbif.org/occurrence/4946559769	https://www.gbif.org/occurrence/4919666992	https://www.gbif.org/occurrence/4518945027	10	3	Coastal Botanics:6 | Cherrylake:3 | McKeithen Growers:1	"Rhapidophyllum hystrix":10	"7g":3 | "15g":2 | "100g":1 | "30g":1 | "3g":1 | "65g":1 | "FG":1	"_":10	
Hamelia patens	2902066	https://www.gbif.org/species/2902066	https://www.gbif.org/occurrence/5140997600	https://www.gbif.org/occurrence/4525055046	https://www.gbif.org/occurrence/4607075414	https://www.gbif.org/occurrence/4855485229	https://www.gbif.org/occurrence/4854895016	https://www.gbif.org/occurrence/5141018764	https://www.gbif.org/occurrence/4919715703	https://www.gbif.org/occurrence/4458438359	https://www.gbif.org/occurrence/4950153819	9	3	EarthBalance / Green Seasons:6 | The Natives:2 | Green Isle Gardens:1	"Hamelia patens":8 | "Hamelia patens 'Calusa'":1	"3g":6 | "g":3	"C":5 | "_":3 | "L":1	
Zamia integrifolia	5284049	https://www.gbif.org/species/5284049	https://www.gbif.org/occurrence/5077122172	https://www.gbif.org/occurrence/5133607949	https://www.gbif.org/occurrence/5007738387	https://www.gbif.org/occurrence/4512384584	https://www.gbif.org/occurrence/4607641613	https://www.gbif.org/occurrence/4852000590	https://www.gbif.org/occurrence/4909278422	https://www.gbif.org/occurrence/3456512451	https://www.gbif.org/occurrence/3031801611	9	5	EarthBalance / Green Seasons:3 | Coastal Botanics:2 | Green Isle Gardens:2 | Cherrylake:1 | The Natives:1	"Zamia integrifolia":9	"3g":5 | "g":3 | "7g":1	"_":6 | "C":2 | "L":1	
Tripsacum dactyloides	2705536	https://www.gbif.org/species/2705536	https://inaturalist-open-data.s3.amazonaws.com/photos/364474784/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/369784176/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/368320138/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/370532644/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/367676168/original.jpg	https://www.gbif.org/occurrence/4919712117	https://www.gbif.org/occurrence/2802792749	https://www.gbif.org/occurrence/2883240365	https://www.gbif.org/occurrence/3465916195	9	4	EarthBalance / Green Seasons:5 | Green Isle Gardens:2 | Beeman's Nursery:1 | The Natives:1	"Tripsacum dactyloides":9	"g":5 | "3g":3 | "4 inch":1	"C":4 | "_":3 | "L":1 | "M":1	
Tripsacum floridanum	2705534	https://www.gbif.org/species/2705534	https://www.gbif.org/occurrence/4126843916	https://www.gbif.org/occurrence/3760096337	https://www.gbif.org/occurrence/3859186717							9	5	EarthBalance / Green Seasons:4 | Green Isle Gardens:2 | Beeman's Nursery:1 | Cherrylake:1 | The Natives:1	"Tripsacum floridanum":9	"g":5 | "3g":4	"C":4 | "_":4 | "M":1	
Eragrostis elliottii	2705344	https://www.gbif.org/species/2705344	https://inaturalist-open-data.s3.amazonaws.com/photos/450867931/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/425309237/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/182649713/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/334526897/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/334526890/original.jpeg	https://www.gbif.org/occurrence/4137875338	https://www.gbif.org/occurrence/4936869303	https://www.gbif.org/occurrence/4980607248	https://www.gbif.org/occurrence/4506312384	9	4	EarthBalance / Green Seasons:4 | Green Isle Gardens:2 | The Natives:2 | Beeman's Nursery:1	"Eragrostis elliottii":9	"g":5 | "4 inch":2 | "LN":1 | "TT":1	"_":4 | "C":3 | "M":2	
Taxodium distichum	2684191	https://www.gbif.org/species/2684191	https://www.gbif.org/occurrence/3772652038	https://www.gbif.org/occurrence/2611060784	https://www.gbif.org/occurrence/5140565872	https://www.gbif.org/occurrence/5108554665	https://www.gbif.org/occurrence/5140629478	https://www.gbif.org/occurrence/5134397210	https://www.gbif.org/occurrence/4919457405	https://www.gbif.org/occurrence/3986288929	https://www.gbif.org/occurrence/4028976888	9	4	EarthBalance / Green Seasons:3 | Marshall Tree Farm:3 | McKeithen Growers:2 | Cherrylake:1	"Taxodium distichum":9	"FG":3 | "3g":2 | "45g":2 | "7g":1 | "g":1	"_":5 | "C":4	
Acer rubrum	3189883	https://www.gbif.org/species/3189883	https://www.gbif.org/occurrence/4525060995	https://www.gbif.org/occurrence/4607176229	https://www.gbif.org/occurrence/4852530881	https://www.gbif.org/occurrence/4597600577	https://www.gbif.org/occurrence/4597452332	https://www.gbif.org/occurrence/4901463740	https://www.gbif.org/occurrence/2859890786	https://www.gbif.org/occurrence/4952199071	https://www.gbif.org/occurrence/4516384560	9	4	Marshall Tree Farm:4 | McKeithen Growers:3 | Cherrylake:1 | EarthBalance / Green Seasons:1	"Acer rubrum":5 | "Acer rubrum 'Florida Flame'":4	"FG":4 | "15g":1 | "30g":1 | "3g":1 | "45g":1 | "g":1	"_":6 | "C":2 | "M":1	
Erythrina herbacea	5349731	https://www.gbif.org/species/5349731	https://inaturalist-open-data.s3.amazonaws.com/photos/462541249/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/475609321/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/345314205/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/480251513/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/463418892/original.jpg	https://www.gbif.org/occurrence/5134783205	https://www.gbif.org/occurrence/4145332760	https://www.gbif.org/occurrence/3966799302	https://www.gbif.org/occurrence/4046693149	8	3	EarthBalance / Green Seasons:4 | Green Isle Gardens:2 | The Natives:2	"Erythrina herbacea":8	"3g":4 | "g":4	"C":4 | "L":2 | "_":2	
Eragrostis spectabilis	2705413	https://www.gbif.org/species/2705413	https://inaturalist-open-data.s3.amazonaws.com/photos/364208883/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/428724314/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/445841995/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/427821197/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/454379707/original.jpg	https://www.gbif.org/occurrence/2814256354	https://www.gbif.org/occurrence/3044794621	https://www.gbif.org/occurrence/2963833613	https://www.gbif.org/occurrence/4872243008	8	3	EarthBalance / Green Seasons:4 | Green Isle Gardens:2 | The Natives:2	"Eragrostis spectabilis":8	"g":4 | "4 inch":3 | "TT":1	"C":3 | "_":3 | "M":2	
Psychotria nervosa	2920385	https://www.gbif.org/species/2920385	https://www.gbif.org/occurrence/5134274289	https://www.gbif.org/occurrence/5063217956	https://www.gbif.org/occurrence/4516677948	https://www.gbif.org/occurrence/5140898966	https://www.gbif.org/occurrence/5141147394	https://www.gbif.org/occurrence/5134842756	https://www.gbif.org/occurrence/4177286334	https://www.gbif.org/occurrence/4993781161	https://www.gbif.org/occurrence/4516677948	8	3	EarthBalance / Green Seasons:4 | Green Isle Gardens:3 | The Natives:1	"Psychotria nervosa":6 | "Psychotria nervosa 'Little Psycho'":2	"3g":5 | "g":3	"_":4 | "C":3 | "L":1	
Uniola paniculata	2702847	https://www.gbif.org/species/2702847	https://www.gbif.org/occurrence/5063750444	https://www.gbif.org/occurrence/4903891122	https://www.gbif.org/occurrence/4908429390	https://www.gbif.org/occurrence/4891773670	https://www.gbif.org/occurrence/5076894238	https://www.gbif.org/occurrence/4855484773	https://www.gbif.org/occurrence/4919363914	https://www.gbif.org/occurrence/4993756977	https://www.gbif.org/occurrence/4046547206	8	2	EarthBalance / Green Seasons:7 | Beeman's Nursery:1	"Uniola paniculata":8	"4 inch":3 | "LN":3 | "g":2	"_":6 | "M":2	
Sabal minor	2732511	https://www.gbif.org/species/2732511	https://www.gbif.org/occurrence/5134025372	https://www.gbif.org/occurrence/4516823669	https://www.gbif.org/occurrence/4116574187	https://www.gbif.org/occurrence/4863759873	https://www.gbif.org/occurrence/3873217132	https://www.gbif.org/occurrence/2641534625	https://www.gbif.org/occurrence/4901338219	https://www.gbif.org/occurrence/3455565984	https://www.gbif.org/occurrence/4516823669	8	3	Coastal Botanics:4 | Cherrylake:3 | Green Isle Gardens:1	"Sabal minor":8	"15g":2 | "3g":2 | "7g":2 | "30g":1 | "g+":1	"_":7 | "L":1	
Sabal palmetto	4925538	https://www.gbif.org/species/4925538	https://www.gbif.org/occurrence/5007808441	https://www.gbif.org/occurrence/5088198974	https://www.gbif.org/occurrence/5063978367	https://www.gbif.org/occurrence/5088198974	https://www.gbif.org/occurrence/4516778416	https://www.gbif.org/occurrence/5087402753	https://www.gbif.org/occurrence/4994099843	https://www.gbif.org/occurrence/4952962231	https://www.gbif.org/occurrence/5036860319	8	3	Coastal Botanics:6 | Cherrylake:1 | McKeithen Growers:1	"Sabal palmetto":8	"FG":7 | "10g":1	"_":8	
Rudbeckia hirta	3114225	https://www.gbif.org/species/3114225	https://www.gbif.org/occurrence/5108513179	https://www.gbif.org/occurrence/5140856967	https://www.gbif.org/occurrence/5133717194	https://www.gbif.org/occurrence/3070267611	https://www.gbif.org/occurrence/4854939621	https://www.gbif.org/occurrence/2311298312	https://www.gbif.org/occurrence/3873665990	https://www.gbif.org/occurrence/4431262635	https://www.gbif.org/occurrence/5063781806	7	3	EarthBalance / Green Seasons:5 | Green Isle Gardens:1 | The Natives:1	"Rudbeckia hirta":7	"g":4 | "4 inch":2 | "LN":1	"_":4 | "C":1 | "L":1 | "M":1	
Mimosa strigillosa	2969657	https://www.gbif.org/species/2969657	https://inaturalist-open-data.s3.amazonaws.com/photos/462226232/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/472814398/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/471491165/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/479602395/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/479572094/original.jpeg	https://www.gbif.org/occurrence/5104630093	https://www.gbif.org/occurrence/5087073393	https://www.gbif.org/occurrence/4438849135	https://www.gbif.org/occurrence/5087031585	7	3	EarthBalance / Green Seasons:4 | Green Isle Gardens:2 | The Natives:1	"Mimosa strigillosa":7	"g":4 | "4 inch":3	"_":3 | "M":2 | "C":1 | "L":1	
Forestiera segregata	3172384	https://www.gbif.org/species/3172384	https://inaturalist-open-data.s3.amazonaws.com/photos/379531276/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/460497179/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/245408354/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/391538102/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/60743003/original.jpg	https://www.gbif.org/occurrence/4852781377	https://www.gbif.org/occurrence/4405359644	https://www.gbif.org/occurrence/3961302603	https://www.gbif.org/occurrence/4528057620	7	3	EarthBalance / Green Seasons:3 | Green Isle Gardens:2 | The Natives:2	"Forestiera segregata":7	"3g":4 | "g":2 | "7g":1	"C":3 | "_":3 | "L":1	
Gelsemium sempervirens	3169513	https://www.gbif.org/species/3169513	https://www.gbif.org/occurrence/5076944074	https://www.gbif.org/occurrence/4597348403	https://www.gbif.org/occurrence/4847071373	https://www.gbif.org/occurrence/4596900505	https://www.gbif.org/occurrence/4597260986	https://www.gbif.org/occurrence/5140421041	https://www.gbif.org/occurrence/4852666449	https://www.gbif.org/occurrence/4846751662	https://www.gbif.org/occurrence/5069878075	7	3	EarthBalance / Green Seasons:4 | Green Isle Gardens:2 | The Natives:1	"Gelsemium sempervirens":7	"g":4 | "3g":3	"_":3 | "C":2 | "L":1 | "M":1	
Lonicera sempervirens	5334239	https://www.gbif.org/species/5334239	https://inaturalist-open-data.s3.amazonaws.com/photos/481566857/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/481583448/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/480787984/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/480014341/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/366630645/original.jpg	https://www.gbif.org/occurrence/5140676486	https://www.gbif.org/occurrence/3325822698	https://www.gbif.org/occurrence/4162169475	https://www.gbif.org/occurrence/2597880036	7	3	EarthBalance / Green Seasons:4 | Green Isle Gardens:2 | The Natives:1	"Lonicera sempervirens":7	"g":4 | "3g":2 | "4 inch":1	"_":4 | "C":1 | "L":1 | "M":1	
Helianthus debilis	3119191	https://www.gbif.org/species/3119191	https://www.gbif.org/occurrence/5104637148	https://www.gbif.org/occurrence/5063323002	https://www.gbif.org/occurrence/4597435217	https://www.gbif.org/occurrence/5104459733	https://www.gbif.org/occurrence/5104459733	https://www.gbif.org/occurrence/4847001374	https://www.gbif.org/occurrence/4921491570	https://www.gbif.org/occurrence/4994185931	https://www.gbif.org/occurrence/4067623725	7	1	EarthBalance / Green Seasons:7	"Helianthus debilis subsp. vestitus":4 | "Helianthus debilis":3	"g":3 | "4 inch":2 | "LN":2	"_":6 | "C":1	
Callicarpa americana	5341129	https://www.gbif.org/species/5341129	https://www.gbif.org/occurrence/5007770103	https://www.gbif.org/occurrence/5036944626	https://www.gbif.org/occurrence/5140239135	https://www.gbif.org/occurrence/5076934070	https://www.gbif.org/occurrence/4516328536	https://www.gbif.org/occurrence/5134781522	https://www.gbif.org/occurrence/4910671913	https://www.gbif.org/occurrence/4952215982	https://www.gbif.org/occurrence/5077023281	7	3	EarthBalance / Green Seasons:4 | The Natives:2 | Green Isle Gardens:1	"Callicarpa americana":7	"3g":4 | "g":3	"_":3 | "M":2 | "C":1 | "L":1	
Ilex glabra	5414266	https://www.gbif.org/species/5414266	https://inaturalist-open-data.s3.amazonaws.com/photos/461034255/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/463941890/original.jpg	https://inaturalist-open-data.s3.amazonaws.com/photos/463609040/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461790009/original.jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/358540235/original.jpeg	https://www.gbif.org/occurrence/5134096696	https://www.gbif.org/occurrence/4937138680	https://www.gbif.org/occurrence/4978600919	https://www.gbif.org/occurrence/3705413556	7	4	EarthBalance / Green Seasons:3 | Green Isle Gardens:2 | McKeithen Growers:1 | The Natives:1	"Ilex glabra":7	"3g":3 | "g":3 | "7g":1	"_":4 | "C":2 | "M":1	
Spartina patens	5290026	https://www.gbif.org/species/5290026	https://www.gbif.org/occurrence/5062716277	https://www.gbif.org/occurrence/4904323640	https://www.gbif.org/occurrence/3881449432	https://www.gbif.org/occurrence/3698107337	https://www.gbif.org/occurrence/3858661585	https://www.gbif.org/occurrence/5062716277	https://www.gbif.org/occurrence/4171874777	https://www.gbif.org/occurrence/4952303291	https://www.gbif.org/occurrence/2563504623	7	2	EarthBalance / Green Seasons:6 | Beeman's Nursery:1	"Spartina patens":7	"4 inch":3 | "LN":2 | "g":2	"M":4 | "_":3	Synonym of Sporobolus pumilus (Roth) P.M.Peterson & Saarela
Andropogon virginicus	2706080	https://www.gbif.org/species/2706080	https://www.gbif.org/occurrence/4535637794	https://www.gbif.org/occurrence/3947071113	https://www.gbif.org/occurrence/3039183715	https://www.gbif.org/occurrence/3902620185	https://www.gbif.org/occurrence/4519160603	https://www.gbif.org/occurrence/3058973439	https://www.gbif.org/occurrence/3902343858	https://www.gbif.org/occurrence/4974280364	https://www.gbif.org/occurrence/1986615556	7	4	The Natives:3 | EarthBalance / Green Seasons:2 | Beeman's Nursery:1 | Green Isle Gardens:1	"Andropogon virginicus var. glaucus":4 | "Andropogon virginicus var. virginicus":2 | "Andropogon virginicus var. decipiens":1	"g":4 | "TT":2 | "4 inch":1	"M":4 | "_":2 | "C":1	
Ulmus alata	5361878	https://www.gbif.org/species/5361878	https://www.gbif.org/occurrence/3784934394	https://www.gbif.org/occurrence/3070610555	https://www.gbif.org/occurrence/3923624525	https://www.gbif.org/occurrence/4919539868	https://www.gbif.org/occurrence/4431116408	https://www.gbif.org/occurrence/3079588653	https://www.gbif.org/occurrence/3335295578	https://www.gbif.org/occurrence/2883205762	https://www.gbif.org/occurrence/5008330372	7	3	Marshall Tree Farm:3 | Cherrylake:2 | McKeithen Growers:2	"Ulmus alata":7	"FG":3 | "45g":2 | "15g":1 | "30g":1	"_":6 | "C":1	
Juniperus silicicola	2684402	https://www.gbif.org/species/2684402	https://www.gbif.org/occurrence/3963738323	https://www.gbif.org/occurrence/3947766473	https://www.gbif.org/occurrence/3408164570	https://www.gbif.org/occurrence/2576295763	https://www.gbif.org/occurrence/3966635648	https://www.gbif.org/occurrence/3398657575	https://www.gbif.org/occurrence/2850738246	https://www.gbif.org/occurrence/3963642788	https://www.gbif.org/occurrence/3044666555	7	2	McKeithen Growers:5 | Marshall Tree Farm:2	"Juniperus silicicola":7	"100g":1 | "10g":1 | "30g":1 | "3g":1 | "45g":1 | "FG":1 | "_":1	"_":7	Synonym of Juniperus virginiana var. silicicola (Small) E.Murray
Borrichia frutescens	3087136	https://www.gbif.org/species/3087136	https://www.gbif.org/occurrence/5134127600	https://www.gbif.org/occurrence/5140351300	https://www.gbif.org/occurrence/5064025077	https://www.gbif.org/occurrence/5063897041	https://www.gbif.org/occurrence/4853096072	https://www.gbif.org/occurrence/4854926257	https://www.gbif.org/occurrence/4904222411	https://www.gbif.org/occurrence/3923648448	https://www.gbif.org/occurrence/5007126643	6	1	EarthBalance / Green Seasons:6	"Borrichia frutescens":6	"4 inch":2 | "g":2 | "2 inch+":1 | "LN":1	"_":3 | "C":2 | "L":1	
Sesuvium portulacastrum	3084883	https://www.gbif.org/species/3084883	https://www.gbif.org/occurrence/5063189562	https://www.gbif.org/occurrence/5063184844	https://www.gbif.org/occurrence/5087877798	https://www.gbif.org/occurrence/5087367701	https://www.gbif.org/occurrence/4597277969	https://www.gbif.org/occurrence/5140634335	https://www.gbif.org/occurrence/3335168058	https://www.gbif.org/occurrence/4424372697	https://www.gbif.org/occurrence/4535641851	6	2	EarthBalance / Green Seasons:5 | Beeman's Nursery:1	"Sesuvium portulacastrum":6	"4 inch":2 | "LN":2 | "BR":1 | "g":1	"_":4 | "C":1 | "M":1	
